00 Die
FE:5B ExMPCCPartyInfoUpdate
FE:5C ExPlayScene
FE:5D ExSpawnEmitter
FE:5E ExEnchantSkillInfoDetail
FE:5F ExBasicActionList
FE:61 ExAttributeEnchantResult
FE:62 ExChooseInventoryAttributeItem
FE:67 ExShowTrace
FE:6A ExPartyPetWindowDelete
FE:6C ExRpItemLink
FE:78 ExShowProcureCropDetail
FE:79 ExHeroList
FE:7A ExOlympiadUserInfoSpectator
FE:7B ExOlympiadSpelledInfo
FE:7C ExOlympiadMode
FE:7D ExShowFortressMapInfo
FE:80 ExPrivateStoreSetWholeMsg
FE:81 RequestEnchant
