00 Logout
D0:07 RequestExAcceptJoinMPCC
D0:08 RequestExOustFromMPCC
D0:09 RequestOustFromPartyRoom
D0:0a RequestDismissPartyRoom
D0:0b RequestWithdrawPartyRoom
D0:0c RequestChangePartyLeader
D0:0d RequestAutoSoulShot
D0:0e RequestExEnchantSkillInfo
D0:0f RequestExEnchantSkill
D0:10 RequestExPledgeCrestLarge
D0:11 RequestExSetPledgeCrestLarge
D0:12 RequestPledgeSetAcademyMaster
D0:13 RequestPledgePowerGradeList
D0:14 RequestPledgeMemberPowerInfo
D0:15 RequestPledgeSetMemberPowerGrade
D0:16 RequestPledgeMemberInfo
D0:17 RequestPledgeWarList
D0:18 RequestExFishRanking
D0:19 RequestPCCafeCouponUse
D0:1b RequestDuelStart
D0:1c RequestDuelAnswerStart
D0:1e RequestExRqItemLink
D0:21 RequestKeyMapping
D0:24 RequestSaveInventoryOrder
D0:25 RequestExitPartyMatchingWaitingRoom
D0:26 RequestConfirmTargetItem
D0:27 RequestConfirmRefinerItem
D0:28 RequestConfirmGemStone
D0:29 RequestOlympiadObserverEnd
D0:2a RequestCursedWeaponList
D0:2b RequestCursedWeaponLocation
D0:2c RequestPledgeReorganizeMember
D0:2e RequestExMPCCShowPartyMembersInfo
D0:2f RequestOlympiadMatchList
D0:30 RequestAskJoinPartyRoom
D0:31 AnswerJoinPartyRoom
D0:32 RequestListPartyMatchingWaitingRoom
D0:33 RequestExEnchantSkillSafe
D0:34 RequestExEnchantSkillUntrain
D0:35 RequestExEnchantSkillRouteChange
D0:36 ExGetOnAirShip
D0:38 RequestExEnchantItemAttribute
D0:3f RequestAllCastleInfo
D0:40 RequestAllFortressInfo
D0:41 RequestAllAgitInfo
D0:42 RequestFortressSiegeInfo
D0:43 RequestGetBossRecord
D0:44 RequestRefine
D0:45 RequestConfirmCancelItem
D0:46 RequestRefineCancel
D0:47 RequestExMagicSkillUseGround
D0:48 RequestDuelSurrender
D0:49 RequestExEnchantSkillInfoDetail
D0:4b RequestFortressMapInfo
D0:4d SetPrivateStoreWholeMsg
D0:4e RequestDispel
D0:4f RequestExTryToPutEnchantTargetItem
D0:50 RequestExTryToPutEnchantSupportItem
D0:51 RequestExCancelEnchantItem
D0:52 RequestChangeNicknameColor
D0:53 RequestResetNickname
